""
"Test Method","SMA-CFTC.msm"
"Sample I. D.","Sample89.mss"
"Specimen Number","1"

"Time (h)","Load (N)","Crosshead (in)","Temperature Chamber (C)","Extension (mm)","Stress (MPa)"
0.154,91.188,0.04852,50.00,0.970,199.958
0.154,91.193,0.04853,50.00,0.970,199.968
0.154,91.202,0.04854,50.00,0.970,199.987
0.154,91.182,0.04854,50.00,0.970,199.945
0.155,91.185,0.04855,50.00,0.971,199.951
0.155,91.228,0.04855,50.00,0.971,200.044
0.155,91.221,0.04855,50.00,0.971,200.031
0.156,91.235,0.04855,50.00,0.971,200.060
0.156,91.196,0.04854,50.00,0.970,199.976
0.156,91.176,0.04854,49.90,0.970,199.932
0.156,91.187,0.04854,49.90,0.970,199.955
0.157,91.181,0.04855,50.00,0.971,199.942
0.157,91.202,0.04855,50.00,0.971,199.987
0.157,91.177,0.04855,50.00,0.971,199.934
0.158,91.192,0.04856,50.00,0.971,199.966
0.158,91.200,0.04856,50.00,0.971,199.984
0.158,91.195,0.04856,50.00,0.971,199.973
0.158,91.187,0.04857,49.90,0.971,199.956
0.159,91.204,0.04858,49.90,0.971,199.993
0.159,91.190,0.04859,49.90,0.972,199.963
0.159,91.195,0.04859,49.90,0.972,199.974
0.159,91.221,0.04859,49.90,0.972,200.029
0.160,91.194,0.04859,49.90,0.972,199.971
0.160,91.204,0.04860,49.90,0.972,199.992
0.160,91.220,0.04860,49.90,0.972,200.027
0.161,91.228,0.04860,49.90,0.972,200.045
0.161,91.212,0.04860,49.90,0.972,200.009
0.161,91.212,0.04860,49.90,0.972,200.010
0.161,91.198,0.04860,49.90,0.972,199.979
0.162,91.194,0.04860,49.90,0.972,199.970
0.162,91.178,0.04860,49.90,0.972,199.935
0.162,91.193,0.04860,49.90,0.972,199.968
0.163,91.208,0.04860,49.90,0.972,200.001
0.163,91.210,0.04860,49.90,0.972,200.006
0.163,91.200,0.04860,49.90,0.972,199.984
0.163,91.218,0.04859,49.90,0.972,200.023
0.164,91.207,0.04859,49.90,0.972,199.999
0.164,91.214,0.04859,49.90,0.972,200.015
0.164,91.199,0.04859,49.90,0.972,199.982
0.164,91.199,0.04859,49.90,0.972,199.983
0.165,91.182,0.04859,49.90,0.972,199.945
0.165,91.179,0.04860,49.90,0.972,199.937
0.165,91.185,0.04860,49.90,0.972,199.951
0.166,91.195,0.04861,49.90,0.972,199.973
0.166,91.197,0.04861,49.90,0.972,199.977
0.166,91.204,0.04861,49.90,0.972,199.993
0.166,91.180,0.04861,49.90,0.972,199.941
0.167,91.169,0.04861,49.90,0.972,199.915
0.167,91.201,0.04861,49.90,0.972,199.986
0.167,91.199,0.04862,49.90,0.972,199.981
0.168,91.209,0.04862,49.90,0.972,200.004
0.168,91.180,0.04862,49.90,0.972,199.941
0.168,91.199,0.04862,49.90,0.972,199.983
0.168,91.187,0.04862,49.90,0.972,199.956
0.169,91.197,0.04863,49.90,0.973,199.978
0.169,91.205,0.04863,49.90,0.973,199.995
0.169,91.232,0.04863,49.90,0.973,200.054
0.169,91.203,0.04863,49.90,0.973,199.990
0.170,91.201,0.04863,49.90,0.973,199.987
0.170,91.197,0.04863,50.00,0.973,199.977
0.170,91.176,0.04863,50.00,0.973,199.932
0.171,91.182,0.04863,49.90,0.973,199.945
0.171,91.183,0.04863,49.90,0.973,199.947
0.171,91.179,0.04864,49.90,0.973,199.938
0.171,91.218,0.04864,49.90,0.973,200.024
0.172,91.194,0.04864,49.90,0.973,199.971
0.172,91.192,0.04865,49.90,0.973,199.966
0.172,91.197,0.04865,49.90,0.973,199.977
0.173,91.207,0.04865,49.90,0.973,199.999
0.173,91.210,0.04865,49.90,0.973,200.005
0.173,91.224,0.04865,49.90,0.973,200.037
0.173,91.196,0.04865,49.90,0.973,199.976
0.174,91.200,0.04865,49.90,0.973,199.985
0.174,91.194,0.04865,49.90,0.973,199.972
0.174,91.204,0.04865,49.90,0.973,199.993
0.174,91.198,0.04865,49.90,0.973,199.980
0.175,91.194,0.04865,49.90,0.973,199.970
0.175,91.189,0.04865,49.90,0.973,199.961
0.175,91.195,0.04865,49.90,0.973,199.972
0.176,91.216,0.04866,49.90,0.973,200.019
0.176,91.210,0.04866,49.90,0.973,200.006
0.176,91.203,0.04866,49.90,0.973,199.991
0.176,91.185,0.04866,49.90,0.973,199.951
0.177,91.192,0.04866,49.90,0.973,199.966
0.177,91.207,0.04867,49.90,0.974,199.999
0.177,91.187,0.04867,49.90,0.974,199.956
0.178,91.208,0.04867,49.90,0.974,200.001
0.178,91.208,0.04867,49.90,0.974,200.001
0.178,91.192,0.04867,49.90,0.974,199.967
0.178,91.205,0.04867,49.90,0.974,199.995
0.179,91.198,0.04867,49.90,0.974,199.979
0.179,91.186,0.04867,49.90,0.974,199.953
0.179,91.197,0.04867,49.90,0.974,199.976
0.179,91.199,0.04867,49.90,0.974,199.982
0.180,91.192,0.04867,49.90,0.974,199.967
0.180,91.206,0.04867,49.90,0.974,199.998
0.180,91.187,0.04867,49.90,0.974,199.954
0.181,91.218,0.04867,49.90,0.974,200.023
0.181,91.198,0.04867,49.90,0.974,199.980
0.181,91.205,0.04867,49.90,0.974,199.994
0.181,91.190,0.04867,49.90,0.974,199.962
0.182,91.185,0.04867,49.90,0.974,199.951
0.182,91.206,0.04868,49.90,0.974,199.997
0.182,91.210,0.04868,49.90,0.974,200.006
0.183,91.199,0.04868,49.90,0.974,199.981
0.183,91.180,0.04868,49.90,0.974,199.941
0.183,91.201,0.04868,49.90,0.974,199.987
0.183,91.229,0.04869,49.90,0.974,200.047
0.184,91.203,0.04869,49.90,0.974,199.990
0.184,91.199,0.04869,49.90,0.974,199.983
0.184,91.186,0.04869,49.90,0.974,199.953
0.184,91.221,0.04869,49.90,0.974,200.031
0.185,91.211,0.04869,49.90,0.974,200.008
0.185,91.158,0.04869,49.90,0.974,199.893
0.185,91.183,0.04870,49.90,0.974,199.946
0.186,91.207,0.04870,49.80,0.974,199.999
0.186,91.186,0.04870,49.80,0.974,199.954
0.186,91.178,0.04870,49.80,0.974,199.936
0.186,91.208,0.04871,49.80,0.975,200.000
0.187,91.197,0.04871,49.80,0.975,199.977
0.187,91.196,0.04871,49.80,0.975,199.975
0.187,91.207,0.04872,49.80,0.975,199.999
0.188,91.205,0.04872,49.80,0.975,199.994
0.188,91.188,0.04872,49.80,0.975,199.957
0.188,91.179,0.04873,49.80,0.975,199.938
0.188,91.188,0.04873,49.80,0.975,199.958
0.189,91.195,0.04874,49.70,0.976,199.973
0.189,91.185,0.04875,49.70,0.976,199.950
0.189,91.200,0.04876,49.70,0.976,199.984
0.189,91.190,0.04876,49.70,0.976,199.962
0.190,91.194,0.04877,49.60,0.976,199.971
0.190,91.186,0.04877,49.60,0.976,199.954
0.190,91.203,0.04877,49.60,0.976,199.991
0.191,91.199,0.04877,49.60,0.976,199.982
0.191,91.178,0.04878,49.60,0.976,199.935
0.191,91.225,0.04878,49.60,0.977,200.038
0.191,91.210,0.04879,49.60,0.977,200.005
0.192,91.184,0.04879,49.60,0.977,199.948
0.192,91.186,0.04880,49.60,0.977,199.954
0.192,91.190,0.04881,49.60,0.977,199.962
0.193,91.188,0.04881,49.50,0.977,199.957
0.193,91.174,0.04882,49.50,0.978,199.927
0.193,91.196,0.04883,49.50,0.978,199.976
0.193,91.181,0.04883,49.50,0.978,199.943
0.194,91.209,0.04883,49.50,0.978,200.004
0.194,91.182,0.04883,49.50,0.978,199.944
0.194,91.176,0.04883,49.40,0.978,199.932
0.194,91.204,0.04885,49.40,0.978,199.994
0.195,91.201,0.04885,49.40,0.978,199.986
0.195,91.192,0.04885,49.40,0.978,199.966
0.195,91.198,0.04886,49.30,0.979,199.978
0.196,91.191,0.04886,49.30,0.979,199.965
0.196,91.178,0.04887,49.30,0.979,199.935
0.196,91.182,0.04887,49.30,0.979,199.944
0.196,91.200,0.04888,49.30,0.979,199.984
0.197,91.172,0.04889,49.30,0.979,199.923
0.197,91.184,0.04890,49.30,0.979,199.948
0.197,91.195,0.04890,49.30,0.980,199.973
0.198,91.172,0.04891,49.20,0.980,199.922
0.198,91.202,0.04891,49.20,0.980,199.987
0.198,91.168,0.04891,49.20,0.980,199.914
0.198,91.197,0.04892,49.20,0.980,199.978
0.199,91.182,0.04893,49.20,0.980,199.945
0.199,91.188,0.04893,49.20,0.980,199.957
0.199,91.214,0.04894,49.20,0.980,200.014
0.199,91.168,0.04894,49.20,0.981,199.913
0.200,91.203,0.04895,49.20,0.981,199.990
0.200,91.197,0.04895,49.10,0.981,199.978
0.200,91.186,0.04896,49.10,0.981,199.953
0.201,91.189,0.04896,49.10,0.981,199.959
0.201,91.178,0.04897,49.10,0.981,199.936
0.201,91.183,0.04898,49.10,0.981,199.947
0.201,91.188,0.04898,49.10,0.982,199.958
0.202,91.190,0.04899,49.00,0.982,199.963
0.202,91.198,0.04900,49.00,0.982,199.979
0.202,91.208,0.04900,49.00,0.982,200.001
0.203,91.188,0.04900,49.00,0.982,199.957
0.203,91.192,0.04901,49.00,0.982,199.967
0.203,91.191,0.04902,49.00,0.982,199.965
0.203,91.184,0.04902,48.90,0.983,199.949
0.204,91.183,0.04903,49.00,0.983,199.947
0.204,91.185,0.04904,49.00,0.983,199.951
0.204,91.170,0.04904,48.90,0.983,199.918
0.204,91.217,0.04905,48.80,0.983,200.020
0.205,91.188,0.04905,48.80,0.983,199.958
0.205,91.194,0.04906,48.80,0.983,199.971
0.205,91.208,0.04906,48.80,0.984,200.002
0.206,91.194,0.04906,48.80,0.984,199.971
0.206,91.200,0.04907,48.80,0.984,199.985
0.206,91.183,0.04907,48.80,0.984,199.946
0.206,91.189,0.04907,48.80,0.984,199.961
0.207,91.170,0.04908,48.80,0.984,199.917
0.207,91.179,0.04909,48.80,0.984,199.939
0.207,91.195,0.04909,48.70,0.984,199.974
0.208,91.179,0.04910,48.70,0.985,199.938
0.208,91.206,0.04911,48.70,0.985,199.998
0.208,91.178,0.04911,48.70,0.985,199.935
0.208,91.188,0.04912,48.70,0.985,199.958
0.209,91.179,0.04913,48.70,0.985,199.937
0.209,91.180,0.04913,48.60,0.985,199.940
0.209,91.207,0.04914,48.60,0.986,199.999
0.209,91.186,0.04915,48.60,0.986,199.954
0.210,91.177,0.04915,48.60,0.986,199.933
0.210,91.197,0.04916,48.60,0.986,199.976
0.210,91.175,0.04917,48.60,0.986,199.928
0.211,91.201,0.04917,48.50,0.986,199.987
0.211,91.185,0.04918,48.50,0.987,199.951
0.211,91.170,0.04918,48.50,0.987,199.917
0.211,91.163,0.04919,48.50,0.987,199.903
0.212,91.201,0.04919,48.50,0.987,199.987
0.212,91.205,0.04920,48.50,0.987,199.994
0.212,91.197,0.04920,48.40,0.987,199.977
0.213,91.204,0.04920,48.40,0.987,199.992
0.213,91.166,0.04921,48.40,0.987,199.910
0.213,91.210,0.04922,48.40,0.988,200.006
0.213,91.202,0.04922,48.40,0.988,199.988
0.214,91.204,0.04923,48.40,0.988,199.993
0.214,91.182,0.04924,48.40,0.988,199.945
0.214,91.187,0.04925,48.30,0.988,199.955
0.214,91.205,0.04926,48.30,0.989,199.995
0.215,91.194,0.04926,48.30,0.989,199.972
0.215,91.179,0.04927,48.30,0.989,199.939
0.215,91.190,0.04928,48.30,0.989,199.963
0.216,91.191,0.04928,48.20,0.989,199.963
0.216,91.185,0.04929,48.20,0.989,199.952
0.216,91.177,0.04930,48.20,0.990,199.935
0.216,91.188,0.04931,48.20,0.990,199.957
0.217,91.176,0.04931,48.20,0.990,199.932
0.217,91.207,0.04931,48.20,0.990,200.000
0.217,91.168,0.04932,48.20,0.990,199.913
0.218,91.193,0.04933,48.10,0.990,199.968
0.218,91.195,0.04934,48.10,0.991,199.974
0.218,91.186,0.04934,48.10,0.991,199.952
0.218,91.196,0.04935,48.10,0.991,199.974
0.219,91.175,0.04935,48.10,0.991,199.929
0.219,91.180,0.04936,48.10,0.991,199.940
0.219,91.188,0.04937,48.10,0.991,199.957
0.219,91.216,0.04937,48.10,0.991,200.020
0.220,91.169,0.04937,48.00,0.992,199.916
0.220,91.200,0.04938,48.00,0.992,199.984
0.220,91.163,0.04939,48.00,0.992,199.903
0.221,91.206,0.04940,48.00,0.992,199.996
0.221,91.171,0.04941,48.00,0.992,199.921
0.221,91.211,0.04941,48.00,0.993,200.007
0.221,91.193,0.04942,47.90,0.993,199.969
0.222,91.195,0.04942,47.90,0.993,199.972
0.222,91.191,0.04943,47.90,0.993,199.964
0.222,91.217,0.04944,47.90,0.993,200.022
0.223,91.189,0.04944,47.88,0.993,199.960
0.223,91.187,0.04945,47.80,0.993,199.955
0.223,91.202,0.04946,47.80,0.994,199.988
0.223,91.164,0.04946,47.80,0.994,199.905
0.224,91.209,0.04948,47.80,0.994,200.004
0.224,91.197,0.04948,47.80,0.994,199.976
0.224,91.192,0.04948,47.80,0.994,199.965
0.224,91.198,0.04949,47.80,0.994,199.980
0.225,91.190,0.04950,47.70,0.995,199.962
0.225,91.197,0.04950,47.70,0.995,199.977
0.225,91.201,0.04951,47.70,0.995,199.986
0.226,91.197,0.04951,47.70,0.995,199.978
0.226,91.185,0.04952,47.70,0.995,199.950
0.226,91.174,0.04953,47.70,0.995,199.927
0.226,91.186,0.04954,47.60,0.996,199.954
0.227,91.192,0.04954,47.60,0.996,199.967
0.227,91.198,0.04955,47.60,0.996,199.979
0.227,91.189,0.04956,47.60,0.996,199.960
0.228,91.196,0.04956,47.60,0.996,199.975
0.228,91.182,0.04956,47.60,0.996,199.945
0.228,91.180,0.04957,47.60,0.997,199.939
0.228,91.164,0.04957,47.60,0.997,199.906
0.229,91.183,0.04959,47.50,0.997,199.947
0.229,91.197,0.04959,47.50,0.997,199.978
0.229,91.189,0.04960,47.50,0.997,199.961
0.229,91.194,0.04961,47.50,0.998,199.971
0.230,91.196,0.04962,47.40,0.998,199.976
0.230,91.191,0.04962,47.40,0.998,199.965
0.230,91.189,0.04963,47.40,0.998,199.961
0.231,91.203,0.04963,47.40,0.998,199.991
0.231,91.203,0.04964,47.40,0.998,199.990
0.231,91.182,0.04964,47.40,0.998,199.944
0.231,91.193,0.04965,47.30,0.999,199.968
0.232,91.198,0.04966,47.30,0.999,199.979
0.232,91.178,0.04967,47.30,0.999,199.936
0.232,91.196,0.04967,47.30,0.999,199.975
0.233,91.203,0.04968,47.30,0.999,199.990
0.233,91.193,0.04969,47.30,0.999,199.969
0.233,91.192,0.04969,47.30,1.000,199.966
0.233,91.196,0.04970,47.30,1.000,199.974
0.234,91.183,0.04971,47.20,1.000,199.946
0.234,91.176,0.04972,47.20,1.000,199.932
0.234,91.211,0.04973,47.20,1.001,200.008
0.234,91.188,0.04973,47.20,1.001,199.957
0.235,91.181,0.04974,47.10,1.001,199.943
0.235,91.191,0.04974,47.10,1.001,199.964
0.235,91.189,0.04975,47.10,1.001,199.960
0.236,91.183,0.04976,47.10,1.001,199.947
0.236,91.180,0.04976,47.10,1.001,199.939
0.236,91.179,0.04977,47.10,1.002,199.939
0.236,91.196,0.04978,47.10,1.002,199.976
0.237,91.161,0.04978,47.10,1.002,199.897
0.237,91.206,0.04979,47.00,1.002,199.997
0.237,91.183,0.04980,47.00,1.002,199.947
0.238,91.183,0.04981,47.00,1.003,199.947
0.238,91.204,0.04981,47.00,1.003,199.993
0.238,91.175,0.04981,46.90,1.003,199.930
0.238,91.163,0.04983,46.90,1.003,199.903
0.239,91.193,0.04984,46.90,1.003,199.969
0.239,91.187,0.04985,46.90,1.004,199.955
0.239,91.192,0.04985,46.90,1.004,199.967
0.239,91.169,0.04986,46.90,1.004,199.916
0.240,91.160,0.04986,46.90,1.004,199.896
0.240,91.179,0.04987,46.80,1.004,199.937
0.240,91.187,0.04988,46.80,1.004,199.955
0.241,91.181,0.04989,46.80,1.005,199.942
0.241,91.193,0.04990,46.80,1.005,199.969
0.241,91.223,0.04991,46.80,1.005,200.034
0.241,91.175,0.04991,46.80,1.005,199.930
0.242,91.175,0.04991,46.70,1.005,199.928
0.242,91.180,0.04992,46.70,1.005,199.940
0.242,91.181,0.04993,46.70,1.006,199.943
0.243,91.188,0.04994,46.70,1.006,199.958
0.243,91.188,0.04994,46.70,1.006,199.958
0.243,91.189,0.04995,46.70,1.006,199.961
0.243,91.190,0.04996,46.60,1.006,199.962
0.244,91.196,0.04996,46.60,1.007,199.976
0.244,91.197,0.04998,46.60,1.007,199.978
0.244,91.192,0.04998,46.60,1.007,199.967
0.244,91.192,0.04999,46.60,1.007,199.967
0.245,91.186,0.05000,46.60,1.007,199.954
0.245,91.177,0.05000,46.50,1.008,199.933
0.245,91.178,0.05001,46.50,1.008,199.936
0.246,91.171,0.05002,46.50,1.008,199.921
0.246,91.169,0.05003,46.50,1.008,199.916
0.246,91.183,0.05004,46.50,1.008,199.946
0.246,91.188,0.05004,46.50,1.009,199.958
0.247,91.200,0.05005,46.50,1.009,199.984
0.247,91.176,0.05006,46.40,1.009,199.931
0.247,91.189,0.05007,46.40,1.009,199.959
0.248,91.177,0.05007,46.40,1.009,199.933
0.248,91.176,0.05009,46.40,1.010,199.930
0.248,91.170,0.05009,46.40,1.010,199.919
0.248,91.181,0.05011,46.30,1.010,199.941
0.249,91.184,0.05011,46.30,1.010,199.949
0.249,91.177,0.05012,46.30,1.010,199.933
0.249,91.197,0.05013,46.30,1.011,199.977
0.249,91.171,0.05014,46.30,1.011,199.920
0.250,91.194,0.05015,46.30,1.011,199.970
0.250,91.186,0.05015,46.20,1.011,199.954
0.250,91.205,0.05016,46.20,1.011,199.995
0.251,91.176,0.05017,46.20,1.012,199.932
0.251,91.190,0.05018,46.20,1.012,199.962
0.251,91.186,0.05019,46.20,1.012,199.953
0.251,91.191,0.05020,46.20,1.013,199.965
0.252,91.204,0.05021,46.10,1.013,199.994
0.252,91.191,0.05022,46.10,1.013,199.965
0.252,91.199,0.05022,46.10,1.013,199.982
0.253,91.184,0.05023,46.10,1.013,199.949
0.253,91.192,0.05024,46.00,1.013,199.966
0.253,91.192,0.05024,46.00,1.014,199.967
0.253,91.184,0.05025,46.00,1.014,199.949
0.254,91.190,0.05026,46.00,1.014,199.962
0.254,91.198,0.05026,46.00,1.014,199.978
0.254,91.178,0.05027,46.00,1.014,199.937
0.254,91.185,0.05028,46.00,1.015,199.950
0.255,91.193,0.05030,45.90,1.015,199.968
0.255,91.201,0.05031,45.90,1.015,199.986
0.255,91.191,0.05031,45.90,1.015,199.965
0.256,91.170,0.05031,45.90,1.015,199.917
0.256,91.212,0.05033,45.80,1.016,200.010
0.256,91.197,0.05033,45.80,1.016,199.976
0.256,91.179,0.05033,45.80,1.016,199.939
0.257,91.181,0.05035,45.80,1.016,199.942
0.257,91.178,0.05036,45.80,1.017,199.936
0.257,91.182,0.05037,45.80,1.017,199.945
0.258,91.166,0.05038,45.70,1.017,199.908
0.258,91.203,0.05039,45.70,1.017,199.990
0.258,91.170,0.05039,45.70,1.017,199.918
0.258,91.163,0.05041,45.70,1.018,199.902
0.259,91.188,0.05041,45.70,1.018,199.958
0.259,91.170,0.05043,45.60,1.018,199.917
0.259,91.179,0.05044,45.60,1.019,199.938
0.259,91.177,0.05044,45.60,1.019,199.934
0.260,91.178,0.05046,45.60,1.019,199.935
0.260,91.187,0.05046,45.60,1.019,199.955
0.260,91.170,0.05047,45.60,1.019,199.918
0.261,91.196,0.05048,45.50,1.020,199.975
0.261,91.191,0.05049,45.50,1.020,199.964
0.261,91.197,0.05050,45.50,1.020,199.977
0.261,91.182,0.05051,45.50,1.020,199.945
0.262,91.177,0.05052,45.50,1.021,199.934
0.262,91.196,0.05053,45.50,1.021,199.976
0.262,91.191,0.05054,45.40,1.021,199.965
0.263,91.194,0.05055,45.40,1.021,199.970
0.263,91.181,0.05056,45.40,1.022,199.942
0.263,91.185,0.05057,45.40,1.022,199.950
0.263,91.170,0.05058,45.40,1.022,199.918
0.264,91.185,0.05059,45.40,1.022,199.952
0.264,91.193,0.05060,45.30,1.023,199.968
0.264,91.163,0.05060,45.30,1.023,199.903
0.264,91.178,0.05062,45.30,1.023,199.935
0.265,91.184,0.05063,45.30,1.023,199.950
0.265,91.177,0.05064,45.20,1.024,199.933
0.265,91.170,0.05065,45.20,1.024,199.918
0.266,91.174,0.05066,45.20,1.024,199.927
0.266,91.203,0.05067,45.20,1.025,199.990
0.266,91.172,0.05068,45.20,1.025,199.923
0.266,91.184,0.05068,45.20,1.025,199.949
0.267,91.193,0.05069,45.10,1.025,199.969
0.267,91.163,0.05070,45.10,1.025,199.902
0.267,91.180,0.05072,45.10,1.026,199.940
0.268,91.187,0.05072,45.10,1.026,199.956
0.268,91.185,0.05073,45.10,1.026,199.952
0.268,91.185,0.05074,45.00,1.026,199.950
0.268,91.184,0.05075,45.00,1.027,199.950
0.269,91.176,0.05077,45.00,1.027,199.931
0.269,91.184,0.05078,45.00,1.027,199.949
0.269,91.171,0.05079,44.90,1.028,199.921
0.269,91.196,0.05080,44.90,1.028,199.975
0.270,91.188,0.05081,44.90,1.028,199.958
0.270,91.181,0.05082,44.90,1.028,199.942
0.270,91.190,0.05083,44.90,1.029,199.962
0.271,91.213,0.05083,44.80,1.029,200.012
0.271,91.164,0.05084,44.80,1.029,199.904
0.271,91.173,0.05086,44.80,1.029,199.925
0.271,91.188,0.05087,44.80,1.030,199.958
0.272,91.167,0.05087,44.80,1.030,199.912
0.272,91.186,0.05089,44.70,1.030,199.954
0.272,91.134,0.05091,44.70,1.030,199.840
0.273,91.172,0.05093,44.70,1.031,199.923
0.273,91.196,0.05093,44.70,1.031,199.975
0.273,91.169,0.05094,44.70,1.031,199.915
0.273,91.194,0.05095,44.70,1.032,199.972
0.274,91.192,0.05096,44.60,1.032,199.967
0.274,91.189,0.05098,44.60,1.032,199.960
0.274,91.170,0.05098,44.60,1.032,199.918
0.274,91.193,0.05100,44.60,1.033,199.968
0.275,91.199,0.05100,44.50,1.033,199.981
0.275,91.184,0.05101,44.50,1.033,199.948
0.275,91.164,0.05102,44.50,1.033,199.906
0.276,91.199,0.05103,44.50,1.034,199.981
0.276,91.192,0.05104,44.50,1.034,199.965
0.276,91.196,0.05105,44.40,1.034,199.975
0.276,91.183,0.05106,44.40,1.034,199.946
0.277,91.182,0.05107,44.40,1.035,199.944
0.277,91.179,0.05109,44.30,1.035,199.937
0.277,91.172,0.05110,44.30,1.035,199.922
0.278,91.182,0.05111,44.30,1.036,199.945
0.278,91.164,0.05112,44.30,1.036,199.904
0.278,91.187,0.05113,44.30,1.036,199.956
0.278,91.169,0.05114,44.30,1.036,199.915
0.279,91.184,0.05116,44.20,1.037,199.950
0.279,91.173,0.05117,44.20,1.037,199.925
0.279,91.180,0.05119,44.20,1.038,199.941
0.279,91.184,0.05119,44.20,1.038,199.950
0.280,91.158,0.05120,44.10,1.038,199.892
0.280,91.204,0.05121,44.10,1.038,199.992
0.280,91.172,0.05122,44.10,1.038,199.923
0.281,91.175,0.05123,44.10,1.039,199.930
0.281,91.180,0.05124,44.10,1.039,199.939
0.281,91.184,0.05126,44.00,1.039,199.948
0.281,91.171,0.05128,44.00,1.040,199.920
0.282,91.181,0.05129,44.00,1.040,199.942
0.282,91.179,0.05130,44.00,1.040,199.939
0.282,91.193,0.05131,43.90,1.041,199.969
0.283,91.187,0.05133,43.90,1.041,199.955
0.283,91.197,0.05134,43.90,1.041,199.978
0.283,91.176,0.05135,43.90,1.042,199.930
0.283,91.189,0.05137,43.90,1.042,199.959
0.284,91.187,0.05138,43.90,1.042,199.955
0.284,91.174,0.05139,43.80,1.043,199.927
0.284,91.186,0.05141,43.80,1.043,199.953
0.284,91.182,0.05142,43.80,1.043,199.944
0.285,91.181,0.05143,43.70,1.044,199.942
0.285,91.180,0.05144,43.70,1.044,199.941
0.285,91.197,0.05146,43.70,1.044,199.978
0.286,91.199,0.05146,43.70,1.045,199.982
0.286,91.172,0.05148,43.70,1.045,199.923
0.286,91.190,0.05149,43.60,1.045,199.963
0.286,91.184,0.05150,43.60,1.046,199.948
0.287,91.173,0.05151,43.60,1.046,199.925
0.287,91.184,0.05153,43.60,1.046,199.949
0.287,91.182,0.05154,43.60,1.047,199.945
0.288,91.198,0.05155,43.50,1.047,199.979
0.288,91.190,0.05156,43.50,1.047,199.961
0.288,91.175,0.05158,43.50,1.048,199.929
0.288,91.160,0.05159,43.40,1.048,199.896
0.289,91.172,0.05160,43.40,1.048,199.922
0.289,91.188,0.05161,43.40,1.048,199.958
0.289,91.157,0.05163,43.40,1.049,199.889
0.289,91.183,0.05164,43.40,1.049,199.947
0.290,91.171,0.05166,43.40,1.050,199.921
0.290,91.179,0.05168,43.30,1.050,199.939
0.290,91.183,0.05169,43.30,1.050,199.946
0.291,91.172,0.05171,43.30,1.051,199.922
0.291,91.187,0.05171,43.20,1.051,199.955
0.291,91.187,0.05172,43.20,1.051,199.956
0.291,91.185,0.05173,43.20,1.051,199.951
0.292,91.175,0.05174,43.20,1.052,199.929
0.292,91.172,0.05176,43.10,1.052,199.922
0.292,91.175,0.05178,43.10,1.053,199.929
0.293,91.171,0.05179,43.10,1.053,199.919
0.293,91.201,0.05180,43.10,1.053,199.987
0.293,91.157,0.05182,43.10,1.054,199.889
0.293,91.192,0.05183,43.00,1.054,199.965
0.294,91.179,0.05184,43.00,1.054,199.937
0.294,91.189,0.05185,43.00,1.055,199.959
0.294,91.163,0.05187,43.00,1.055,199.903
0.294,91.183,0.05188,42.90,1.055,199.948
0.295,91.177,0.05190,42.90,1.056,199.933
0.295,91.174,0.05191,42.90,1.056,199.928
0.295,91.200,0.05192,42.80,1.056,199.984
0.296,91.179,0.05193,42.80,1.057,199.939
0.296,91.158,0.05195,42.80,1.057,199.892
0.296,91.188,0.05197,42.80,1.057,199.957
0.296,91.175,0.05198,42.80,1.058,199.929
0.297,91.187,0.05200,42.70,1.058,199.956
0.297,91.189,0.05201,42.70,1.058,199.960
0.297,91.190,0.05202,42.70,1.059,199.961
0.298,91.178,0.05204,42.70,1.059,199.935
0.298,91.187,0.05205,42.60,1.059,199.956
0.298,91.176,0.05206,42.60,1.060,199.931
0.298,91.177,0.05208,42.60,1.060,199.934
0.299,91.187,0.05209,42.50,1.061,199.955
0.299,91.160,0.05211,42.50,1.061,199.896
0.299,91.179,0.05212,42.50,1.061,199.937
0.299,91.182,0.05214,42.50,1.062,199.944
0.300,91.185,0.05215,42.50,1.062,199.952
0.300,91.173,0.05217,42.40,1.062,199.924
0.300,91.185,0.05217,42.40,1.063,199.952
0.301,91.174,0.05219,42.40,1.063,199.926
0.301,91.146,0.05220,42.40,1.063,199.865
0.301,91.188,0.05222,42.30,1.064,199.958
0.301,91.176,0.05223,42.30,1.064,199.931
0.302,91.191,0.05224,42.30,1.064,199.963
0.302,91.164,0.05226,42.27,1.065,199.906
0.302,91.169,0.05228,42.20,1.065,199.917
0.303,91.170,0.05229,42.20,1.066,199.917
0.303,91.174,0.05230,42.20,1.066,199.926
0.303,91.161,0.05231,42.20,1.066,199.899
0.303,91.162,0.05233,42.10,1.067,199.901
0.304,91.174,0.05236,42.10,1.067,199.927
0.304,91.193,0.05237,42.10,1.068,199.968
0.304,91.173,0.05238,42.00,1.068,199.925
0.304,91.162,0.05240,42.00,1.068,199.900
0.305,91.188,0.05241,42.00,1.069,199.957
0.305,91.184,0.05243,42.00,1.069,199.948
0.305,91.175,0.05244,42.00,1.069,199.929
0.306,91.165,0.05245,41.90,1.070,199.907
0.306,91.172,0.05247,41.90,1.070,199.922
0.306,91.194,0.05249,41.90,1.071,199.972
0.306,91.171,0.05249,41.90,1.071,199.921
0.307,91.192,0.05250,41.80,1.071,199.965
0.307,91.173,0.05252,41.80,1.071,199.924
0.307,91.153,0.05254,41.80,1.072,199.882
