Column1	Column2	Column3	Column4	Column5	Column6	Column7
						
Test Method	TENSILE LMSMA.msm					
Sample I. D.	MingearLMSMA.mss					
Specimen Number	7					
						
Time (s)	Load (N)	Stress (MPa)	_COM1 (C)	Crosshead (mm)	_Strain2 (mm)	Strain (mm/mm)
						
738.200	3270.654	124.846	0.000	3.230	-0.000	1.006
744.600	3346.650	127.747	0.000	3.283	-0.000	1.023
751.000	3252.023	124.135	0.000	3.312	-0.000	1.032
757.400	3362.273	128.343	0.000	3.346	-0.000	1.043
763.800	3259.117	124.406	0.000	3.368	-0.000	1.049
770.200	3352.872	127.984	0.000	3.391	-0.000	1.057
776.600	3238.965	123.636	0.000	3.406	-0.000	1.061
783.000	3354.240	128.037	0.000	3.426	-0.000	1.068
789.400	3241.772	123.744	0.000	3.432	0.000	1.070
795.800	3332.280	127.198	0.000	3.456	0.000	1.077
802.200	3270.366	124.835	0.000	3.456	0.000	1.077
808.600	3288.271	125.519	0.000	3.473	0.000	1.083
815.000	3368.899	128.596	0.000	3.483	-0.000	1.086
821.400	3246.235	123.914	0.000	3.483	-0.000	1.086
827.800	3306.258	126.205	0.000	3.497	-0.000	1.090
834.200	3337.064	127.381	0.000	3.497	0.000	1.090
840.600	3242.833	123.784	0.000	3.498	0.000	1.090
847.000	3296.938	125.849	0.000	3.505	-0.000	1.093
853.400	3355.896	128.100	0.000	3.506	-0.000	1.093
859.800	3262.408	124.531	0.000	3.501	0.000	1.091
866.200	3256.703	124.314	0.000	3.508	0.000	1.094
872.600	3370.755	128.667	0.000	3.513	-0.000	1.095
879.000	3346.109	127.726	0.000	3.512	0.000	1.095
885.400	3263.749	124.582	0.000	3.507	-0.000	1.093
891.800	3289.808	125.577	0.000	3.516	0.000	1.096
898.200	3337.230	127.387	0.000	3.521	-0.000	1.098
904.600	3356.022	128.105	0.000	3.518	-0.000	1.097
911.000	3266.433	124.685	0.000	3.511	0.000	1.095
917.400	3237.462	123.579	0.000	3.515	0.000	1.096
923.800	3306.833	126.227	0.000	3.523	-0.000	1.098
930.200	3375.642	128.854	0.000	3.525	-0.000	1.099
936.600	3339.373	127.469	0.000	3.521	0.000	1.098
943.000	3237.093	123.565	0.000	3.519	-0.000	1.097
949.400	3303.710	126.108	0.000	3.526	0.000	1.099
955.800	3372.278	128.725	0.000	3.528	0.000	1.100
962.200	3299.577	125.950	0.000	3.521	-0.000	1.098
968.600	3257.166	124.331	0.000	3.520	-0.000	1.097
975.000	3252.508	124.153	0.000	3.525	-0.000	1.099
981.400	3331.757	127.178	0.000	3.532	0.000	1.101
987.800	3357.039	128.143	0.000	3.534	-0.000	1.102
994.200	3333.427	127.242	0.000	3.527	-0.000	1.100
1000.600	3244.175	123.835	0.000	3.524	-0.000	1.099
1007.000	3264.504	124.611	0.000	3.529	-0.000	1.100
1013.400	3330.694	127.138	0.000	3.535	-0.000	1.102
