"Test Method,""3Point_Bending.msm"""
"Sample I. D.,""Sample34.mss"""
"Specimen Number,""2"""

"Time (s),""Load (N)"",""Extension (mm)"",""_COM1 (C)"",""FlexureStress (MPa)"",""FlexureStrain (mm/mm)"""
"56.600,-1683.305,-0.480,104.900,-126.248,****"
"56.800,-1694.659,-0.482,104.900,-127.099,****"
"57.000,-1707.708,-0.484,104.900,-128.078,****"
"57.200,-1720.026,-0.486,104.900,-129.002,****"
"57.400,-1733.003,-0.488,104.900,-129.975,****"
"57.600,-1745.318,-0.490,104.900,-130.899,****"
"57.800,-1758.691,-0.492,104.900,-131.902,****"
"58.000,-1770.582,-0.494,105.000,-132.794,****"
"58.200,-1783.711,-0.496,105.000,-133.778,****"
"58.400,-1796.751,-0.498,105.000,-134.756,****"
"58.600,-1809.149,-0.500,105.000,-135.686,****"
"58.800,-1822.248,-0.502,105.000,-136.669,****"
"59.000,-1835.477,-0.504,105.000,-137.661,****"
"59.200,-1848.643,-0.506,105.000,-138.648,****"
"59.400,-1861.407,-0.508,105.000,-139.605,****"
"59.600,-1874.408,-0.510,105.000,-140.581,****"
"59.800,-1887.092,-0.512,105.000,-141.532,****"
"60.000,-1900.475,-0.514,105.000,-142.536,****"
"60.200,-1914.191,-0.516,105.000,-143.564,****"
"60.400,-1926.304,-0.518,105.000,-144.473,****"
"60.600,-1939.702,-0.520,105.000,-145.478,****"
"60.800,-1953.218,-0.522,105.000,-146.491,****"
"61.000,-1966.790,-0.524,104.900,-147.509,****"
"61.200,-1980.181,-0.526,104.900,-148.514,****"
"61.400,-1993.364,-0.529,104.900,-149.502,****"
"61.600,-2006.624,-0.530,104.900,-150.497,****"
"61.800,-2019.564,-0.532,104.900,-151.467,****"
"62.000,-2033.006,-0.534,104.900,-152.475,****"
"62.200,-2046.613,-0.536,104.900,-153.496,****"
"62.400,-2059.644,-0.538,104.900,-154.473,****"
"62.600,-2073.119,-0.540,105.000,-155.484,****"
"62.800,-2086.845,-0.542,105.000,-156.513,****"
"63.000,-2099.562,-0.544,105.000,-157.467,****"
"63.200,-2113.456,-0.546,105.000,-158.509,****"
"63.400,-2127.825,-0.548,105.000,-159.587,****"
"63.600,-2140.942,-0.550,105.000,-160.571,****"
"63.800,-2153.668,-0.552,105.000,-161.525,****"
"64.000,-2167.544,-0.554,104.900,-162.566,****"
"64.200,-2180.856,-0.556,104.900,-163.564,****"
"64.400,-2194.494,-0.558,104.900,-164.587,****"
"64.600,-2208.373,-0.560,104.900,-165.628,****"
"64.800,-2222.259,-0.562,104.900,-166.669,****"
"65.000,-2235.354,-0.564,104.900,-167.652,****"
"65.200,-2248.658,-0.566,104.900,-168.649,****"
"65.400,-2263.197,-0.568,104.900,-169.740,****"
"65.600,-2276.538,-0.570,104.900,-170.740,****"
"65.800,-2290.754,-0.572,104.900,-171.807,****"
"66.000,-2304.849,-0.574,104.900,-172.864,****"
"66.200,-2318.360,-0.576,104.900,-173.877,****"
"66.400,-2331.313,-0.578,104.900,-174.848,****"
"66.600,-2345.738,-0.580,104.900,-175.930,****"
"66.800,-2359.303,-0.582,104.900,-176.948,****"
"67.000,-2372.622,-0.584,104.900,-177.947,****"
"67.200,-2386.954,-0.586,104.900,-179.022,****"
"67.400,-2400.666,-0.588,104.900,-180.050,****"
"67.600,-2414.225,-0.590,104.900,-181.067,****"
"67.800,-2428.552,-0.592,104.900,-182.141,****"
"68.000,-2443.470,-0.594,104.900,-183.260,****"
"68.200,-2456.683,-0.596,104.900,-184.251,****"
"68.400,-2470.450,-0.598,104.900,-185.284,****"
"68.600,-2484.750,-0.600,104.800,-186.356,****"
"68.800,-2498.648,-0.602,104.800,-187.399,****"
"69.000,-2512.911,-0.604,104.800,-188.468,****"
"69.200,-2527.467,-0.606,104.800,-189.560,****"
"69.400,-2540.662,-0.608,104.800,-190.550,****"
"69.600,-2555.423,-0.610,104.800,-191.657,****"
