"Test Method:,""3Point_Bending.msm"""

"Sample,""Spcmn"",""Width"",""Thickness"",""Peak Load"",""Peak Stress"",""Strain At Break"",""Modulus"",""Stress At Yield"",""Strain At Yield"",""Load At Yield"",""Elongation At Break"",""Elongation at Peak"",""Adjusted Gage Length"",""FlexuralStress"",""FlexuralStrain"""
"I. D.,""No."",""mm"",""mm"",""N"",""MPa"",""mm/mm"",""MPa"",""MPa"",""mm/mm"",""N"",""mm"",""mm"",""mm"",""MPa"",""mm/mm"""

"Sample34.mss,""1"",""40.000"",""5.000"",""-1.761"",""-0.0"",""****"",""****"",""-0.024"",""-0.009"",""-4.836"",""****"",""-0.003"",""3.175"",""-198.98"",""-0.013"""
"Sample34.mss,""2"",""40.000"",""5.000"",""-4.395"",""-0.0"",""****"",""****"",""-3.327"",""-0.090"",""-665.328"",""****"",""-0.003"",""3.175"",""-249.97"",""-0.009"""
"Sample34.mss,""3"",""40.000"",""5.000"",""-17.235"",""-0.1"",""****"",""****"",""-3.328"",""-0.081"",""-665.624"",""****"",""-0.003"",""3.175"",""-49.94"",""-0.005"""


"Test Method,""3Point_Bending.msm"""
"Sample I. D.,""Sample34.mss"""
"Specimen Number,""3"""

"Time (s),""Load (N)"",""Extension (mm)"",""_COM1 (C)"",""FlexureStress (MPa)"",""FlexureStrain (mm/mm)"""
"1741.800,-665.579,-0.436,57.400,-49.918,****"
"1754.600,-665.731,-0.439,57.000,-49.930,****"
"1767.400,-666.004,-0.442,56.600,-49.950,****"
"1780.200,-665.895,-0.445,56.100,-49.942,****"
"1793.000,-665.748,-0.448,55.600,-49.931,****"
"1805.800,-666.248,-0.451,55.200,-49.969,****"
"1818.600,-665.767,-0.453,54.800,-49.933,****"
"1831.400,-665.759,-0.456,54.300,-49.932,****"
"1844.200,-665.772,-0.460,54.100,-49.933,****"
"1857.000,-666.269,-0.462,53.400,-49.970,****"
"1869.800,-665.981,-0.465,53.100,-49.949,****"
"1882.600,-665.547,-0.468,52.700,-49.916,****"
"1895.400,-665.982,-0.471,52.300,-49.949,****"
"1908.200,-665.787,-0.474,51.800,-49.934,****"
"1921.000,-665.427,-0.477,51.300,-49.907,****"
"1933.800,-665.833,-0.480,50.900,-49.937,****"
"1946.600,-665.628,-0.483,50.500,-49.922,****"
"1959.400,-665.791,-0.486,50.200,-49.934,****"
"1972.200,-665.722,-0.489,49.600,-49.929,****"
"1985.000,-665.441,-0.492,49.000,-49.908,****"
"1997.800,-665.956,-0.495,48.900,-49.947,****"
"2010.600,-665.892,-0.498,48.200,-49.942,****"
"2023.400,-665.853,-0.501,48.000,-49.939,****"
"2036.200,-665.562,-0.504,47.500,-49.917,****"
"2049.000,-665.750,-0.507,47.200,-49.931,****"
"2061.800,-665.847,-0.511,46.500,-49.939,****"
"2074.600,-665.529,-0.514,46.400,-49.915,****"
"2087.400,-665.817,-0.517,45.800,-49.936,****"
"2100.200,-666.106,-0.520,45.500,-49.958,****"
"2113.000,-665.812,-0.523,44.900,-49.936,****"
"2125.800,-665.477,-0.526,44.800,-49.911,****"
"2138.600,-665.648,-0.529,43.900,-49.924,****"
"2151.400,-665.791,-0.532,43.800,-49.934,****"
"2164.200,-665.739,-0.536,43.200,-49.930,****"
"2177.000,-665.974,-0.539,42.800,-49.948,****"
"2189.800,-665.863,-0.542,42.600,-49.940,****"
"2202.600,-665.961,-0.546,41.600,-49.947,****"
"2215.400,-665.695,-0.549,41.700,-49.927,****"
"2228.200,-665.964,-0.552,41.200,-49.947,****"
"2241.000,-665.634,-0.555,40.600,-49.923,****"
"2253.800,-665.825,-0.559,40.200,-49.937,****"
"2266.600,-665.576,-0.562,40.100,-49.918,****"
"2279.400,-665.834,-0.565,39.000,-49.938,****"
"2292.200,-665.725,-0.569,38.900,-49.929,****"
"2305.000,-665.913,-0.572,38.800,-49.943,****"
"2317.800,-665.342,-0.575,38.400,-49.901,****"
"2330.600,-665.630,-0.579,37.800,-49.922,****"
"2343.400,-665.813,-0.582,37.300,-49.936,****"
"2356.200,-665.756,-0.585,37.000,-49.932,****"
"2369.000,-665.783,-0.589,36.400,-49.934,****"
"2381.800,-665.873,-0.592,36.200,-49.940,****"
"2394.600,-665.678,-0.595,35.600,-49.926,****"
"2407.400,-665.911,-0.599,34.900,-49.943,****"
"2420.200,-666.001,-0.603,34.900,-49.950,****"
"2433.000,-665.792,-0.606,34.300,-49.934,****"
"2445.800,-665.625,-0.610,33.900,-49.922,****"
"2458.600,-665.757,-0.614,33.500,-49.932,****"
"2471.400,-665.925,-0.617,32.600,-49.944,****"
"2484.200,-665.956,-0.621,32.800,-49.947,****"
"2497.000,-665.708,-0.624,32.200,-49.928,****"
"2509.800,-665.644,-0.628,31.800,-49.923,****"
"2522.600,-665.648,-0.632,31.400,-49.924,****"
"2535.400,-665.832,-0.635,30.800,-49.937,****"
"2548.200,-665.844,-0.639,30.600,-49.938,****"
"2561.000,-665.758,-0.643,30.100,-49.932,****"
"2573.800,-665.503,-0.647,29.700,-49.913,****"
"2586.600,-665.969,-0.651,29.200,-49.948,****"
"2599.400,-665.393,-0.655,28.700,-49.904,****"
"2612.200,-665.829,-0.659,28.500,-49.937,****"
"2625.000,-665.586,-0.664,28.100,-49.919,****"
"2637.800,-665.724,-0.668,27.400,-49.929,****"
"2650.600,-665.481,-0.673,26.900,-49.911,****"
"2663.400,-665.427,-0.677,26.800,-49.907,****"
"2676.200,-665.757,-0.681,26.500,-49.932,****"
"2689.000,-665.518,-0.686,26.100,-49.914,****"
"2701.800,-665.654,-0.691,25.200,-49.924,****"
"2714.600,-665.555,-0.696,25.000,-49.917,****"
"2727.400,-665.867,-0.701,24.500,-49.940,****"
"2740.200,-665.513,-0.706,24.300,-49.913,****"
"2753.000,-665.656,-0.711,23.400,-49.924,****"
"2765.800,-665.668,-0.716,23.400,-49.925,****"
"2778.600,-665.783,-0.721,22.800,-49.934,****"
"2791.400,-665.342,-0.727,22.400,-49.901,****"
"2804.200,-665.230,-0.732,22.200,-49.892,****"
"2817.000,-665.705,-0.738,21.600,-49.928,****"
"2829.800,-665.414,-0.744,21.000,-49.906,****"
"2842.600,-665.230,-0.750,20.600,-49.892,****"
"2855.400,-665.557,-0.756,20.500,-49.917,****"
"2868.200,-665.977,-0.762,20.000,-49.948,****"
"2881.000,-664.866,-0.769,19.500,-49.865,****"
"2893.800,-665.683,-0.775,19.000,-49.926,****"
"2906.600,-665.457,-0.783,18.300,-49.909,****"
"2919.400,-665.534,-0.790,18.400,-49.915,****"
"2932.200,-665.697,-0.797,17.800,-49.927,****"
"2945.000,-665.460,-0.805,17.500,-49.909,****"
"2957.800,-665.416,-0.812,16.900,-49.906,****"
"2970.600,-665.329,-0.822,16.100,-49.900,****"
